PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
A.J. Lawson,DAL,41,26,15,7.5,3282.4,0.62,0.32,0.3,4.62,4.77,4.44
AJ Green,MIL,56,35,21,11,4523.1,0.86,0.45,0.4,4.34,4.72,3.99
AJ Griffin,ATL,20,8,12,8.5,3705.9,0.7,0.37,0.33,4.59,4.77,4.47
Aaron Gordon,DEN,71,47,24,31.6,11871.5,2.25,1.19,1.06,3.99,4.15,3.82
Aaron Holiday,HOU,78,39,39,16.3,6527.7,1.24,0.64,0.59,4.23,4.5,3.97
Aaron Nesmith,IND,72,41,31,27.7,11546.8,2.19,1.14,1.05,4.43,4.76,4.11
Aaron Wiggins,OKC,78,55,23,15.7,6883.1,1.3,0.69,0.61,4.62,5.07,4.2
Adam Flagler,OKC,2,2,0,7,2782.5,0.53,0.3,0.23,4.45,4.9,4.01
Adama Sanogo,CHI,9,3,6,7.3,2892.6,0.55,0.28,0.27,4.14,4.36,3.94
Admiral Schofield,ORL,23,15,8,3.7,1416.7,0.27,0.15,0.12,4.03,4.22,3.82
Al Horford,BOS,64,50,14,26.7,10052.2,1.9,1.01,0.9,4,4.2,3.8
Alec Burks,NYK,66,18,48,18.4,7264.9,1.38,0.74,0.64,4.15,4.37,3.93
Aleksej Pokusevski,CHA,27,13,14,14.7,5937.9,1.12,0.61,0.52,4.31,4.7,3.92
Alex Caruso,CHI,70,34,36,28.6,11891.4,2.25,1.16,1.1,4.43,4.7,4.16
Alex Fudge,DAL,6,1,5,6.7,2814.8,0.53,0.28,0.26,4.38,4.8,3.99
Alex Len,SAC,48,24,24,9.3,3732.5,0.71,0.37,0.34,4.27,4.6,3.96
Alondes Williams,MIA,7,5,2,2.2,947.9,0.18,0.1,0.08,4.48,4.27,4.74
Alperen Sengun,HOU,63,29,34,32.5,11858.5,2.25,1.16,1.08,3.88,4.04,3.73
Amari Bailey,CHA,10,1,9,6.5,2688.1,0.51,0.27,0.24,4.39,4.88,3.95
Amen Thompson,HOU,62,30,32,22.4,9216.3,1.75,0.93,0.82,4.36,4.7,4.04
Amir Coffey,LAC,69,45,24,20.9,7958.5,1.51,0.77,0.74,4.02,4.03,4.02
Andre Drummond,CHI,78,37,41,17.2,6350.6,1.2,0.61,0.59,3.96,4.17,3.76
Andre Jackson Jr.,MIL,57,33,24,10,4614.6,0.87,0.46,0.41,4.81,5.16,4.48
Andrew Funk,CHI,5,3,2,2.7,1062.8,0.2,0.11,0.09,4.09,4.26,3.94
Andrew Nembhard,IND,68,41,27,24.9,10441.8,1.98,1.01,0.97,4.42,4.66,4.21
Andrew Wiggins,GSW,70,38,32,27.1,10552,2,1.07,0.93,4.21,4.53,3.9
Anfernee Simons,POR,45,10,35,34.2,13763.8,2.61,1.46,1.14,4.26,4.71,3.79
Anthony Black,ORL,69,39,30,16.9,6782.2,1.28,0.67,0.61,4.24,4.3,4.2
Anthony Davis,LAL,75,44,31,35.6,12379.5,2.34,1.23,1.11,3.74,3.98,3.51
Anthony Edwards,MIN,79,54,25,35.1,13256.9,2.51,1.38,1.13,3.99,4.34,3.62
Anthony Gill,WAS,50,9,41,9.3,3813.9,0.72,0.37,0.35,4.33,4.83,3.9
Armoni Brooks,BKN,10,3,7,10.4,4212.5,0.8,0.44,0.36,4.41,5.02,3.83
Ashton Hagans,POR,19,3,16,16.6,6953.3,1.32,0.67,0.64,4.41,4.52,4.3
Ausar Thompson,DET,62,10,52,25.4,10564,2,1.03,0.98,4.4,4.59,4.22
Austin Reaves,LAL,81,46,35,32.2,12208.7,2.31,1.25,1.06,4.09,4.44,3.74
Ayo Dosunmu,CHI,75,37,38,29,11552.9,2.19,1.14,1.04,4.32,4.63,4.03
Bam Adebayo,MIA,71,40,31,34,12619.1,2.39,1.28,1.11,3.99,4.28,3.7
Ben Sheppard,IND,57,32,25,14.3,6401.4,1.21,0.64,0.57,4.71,5,4.42
Ben Simmons,BKN,15,7,8,23.9,9183.4,1.74,0.95,0.79,4.08,4.49,3.67
Bennedict Mathurin,IND,59,33,26,26.1,10734.4,2.03,1.07,0.96,4.32,4.63,4.02
Bilal Coulibaly,WAS,63,11,52,27.2,11325,2.14,1.09,1.05,4.41,4.63,4.2
Bismack Biyombo,OKC,40,20,20,19.8,7817.2,1.48,0.8,0.68,4.22,4.49,3.94
Blake Wesley,SAS,60,18,42,14.3,6328.1,1.2,0.64,0.56,4.68,5,4.36
Boban Marjanović,HOU,14,9,5,5.1,1851.1,0.35,0.19,0.16,3.95,4.14,3.76
Bobby Portis,MIL,82,49,33,24.5,9955.5,1.89,0.98,0.9,4.27,4.5,4.05
Bogdan Bogdanović,ATL,79,35,44,30.4,12311.2,2.33,1.27,1.06,4.32,4.79,3.86
Bojan Bogdanović,NYK,57,20,37,25.9,10117.7,1.92,1.05,0.87,4.13,4.49,3.76
Bol Bol,PHX,42,28,14,10.9,4399.3,0.83,0.44,0.39,4.34,4.39,4.28
Bones Hyland,LAC,36,19,17,14.6,5857,1.11,0.62,0.49,4.21,4.46,3.93
Bradley Beal,PHX,52,33,19,33.3,12360.6,2.34,1.27,1.07,4.04,4.28,3.79
Brandin Podziemski,GSW,73,41,32,26.5,11099.6,2.1,1.16,0.94,4.49,4.94,4.04
Brandon Boston,LAC,32,17,15,10.8,4263.3,0.81,0.43,0.38,4.21,4.33,4.07
Brandon Clarke,MEM,6,2,4,22.4,8955,1.7,0.92,0.78,4.26,4.41,4.09
Brandon Ingram,NOP,63,38,25,32.9,12383,2.35,1.3,1.05,3.99,4.4,3.57
Brandon Miller,CHA,73,17,56,32.1,12945.7,2.45,1.33,1.12,4.28,4.6,3.95
Brandon Williams,DAL,17,10,7,6.6,2713.5,0.51,0.28,0.24,4.3,4.73,3.98
Braxton Key,DEN,20,14,6,3,1226.5,0.23,0.13,0.1,4.14,4.64,3.81
Brice Sensabaugh,UTA,31,8,23,17.8,7328.6,1.39,0.74,0.65,4.34,4.48,4.21
Brook Lopez,MIL,79,48,31,30.5,10925.6,2.07,1.07,1,3.8,3.92,3.68
Bruce Brown,TOR,67,26,41,27.8,11238.8,2.13,1.14,0.99,4.26,4.69,3.85
Bruno Fernando,ATL,45,20,25,15.2,5790.8,1.1,0.57,0.53,4.07,4.2,3.93
Bryce McGowens,CHA,59,11,48,14.9,6222.1,1.18,0.63,0.55,4.39,4.57,4.21
Buddy Boeheim,DET,10,0,10,8.4,3331.2,0.63,0.34,0.29,4.36,4.77,3.96
Buddy Hield,PHI,83,45,38,25.8,11446.4,2.17,1.19,0.98,4.69,5.17,4.21
CJ McCollum,NOP,65,42,23,32.8,13364.6,2.53,1.39,1.15,4.33,4.77,3.91
Cade Cunningham,DET,61,9,52,33.5,13269.5,2.51,1.44,1.07,4.19,4.89,3.51
Caleb Houstan,ORL,59,31,28,13.8,5827.1,1.1,0.61,0.49,4.45,4.77,4.1
Caleb Martin,MIA,64,36,28,27.4,11885.4,2.25,1.23,1.02,4.59,4.99,4.17
Cam Reddish,LAL,47,26,21,20.4,8358.3,1.58,0.75,0.83,4.36,4.22,4.5
Cam Thomas,BKN,63,23,40,31.5,12494.7,2.37,1.3,1.07,4.19,4.49,3.88
Cam Whitmore,HOU,47,19,28,18.7,7603.7,1.44,0.77,0.68,4.27,4.65,3.91
Cameron Johnson,BKN,57,21,36,27.6,11030,2.09,1.16,0.93,4.25,4.6,3.88
Cameron Payne,PHI,77,45,32,16.6,6951,1.32,0.73,0.59,4.4,4.87,3.93
Caris LeVert,CLE,68,38,30,28.8,11403.3,2.16,1.19,0.97,4.17,4.59,3.74
Cason Wallace,OKC,82,57,25,20.6,8461,1.6,0.82,0.79,4.34,4.54,4.16
Cedi Osman,SAS,72,17,55,17.6,7375.6,1.4,0.76,0.64,4.38,4.73,4.01
Charles Bassey,SAS,19,3,16,10.8,4578.5,0.87,0.47,0.4,4.44,4.75,4.12
Charlie Brown Jr.,NYK,8,2,6,4.7,1870.4,0.35,0.18,0.17,4.18,4.4,3.98
Chet Holmgren,OKC,82,57,25,29.4,11509.5,2.18,1.19,0.99,4.13,4.64,3.66
Chimezie Metu,DET,51,24,27,16.8,6509.5,1.23,0.64,0.59,4.19,4.35,4.02
Chris Boucher,TOR,49,16,33,13.8,5590.9,1.06,0.55,0.51,4.27,4.53,4.03
Chris Duarte,SAC,59,35,24,12.2,5391.7,1.02,0.53,0.49,4.7,5.01,4.4
Chris Livingston,MIL,21,13,8,4.3,1908.4,0.36,0.19,0.17,4.62,4.68,4.44
Chris Paul,GSW,57,33,24,26.3,9452.5,1.79,1,0.79,3.78,4.2,3.35
Christian Braun,DEN,80,55,25,20.3,8549.2,1.62,0.88,0.74,4.44,4.8,4.08
Christian Wood,LAL,49,27,22,17.6,6369.8,1.21,0.64,0.57,3.85,4.1,3.61
Chuma Okeke,ORL,47,24,23,9.2,3676.3,0.7,0.38,0.32,4.19,4.44,3.94
Clint Capela,ATL,73,33,40,25.8,9676.3,1.83,0.94,0.89,4,4.12,3.87
Coby White,CHI,78,37,41,36.4,13798.5,2.61,1.39,1.22,4.07,4.45,3.72
Cody Martin,CHA,28,7,21,26.9,11433.5,2.17,1.19,0.98,4.53,4.86,4.17
Cody Zeller,NOP,42,26,16,7.3,3075.4,0.58,0.32,0.26,4.36,4.74,3.98
Colby Jones,SAC,30,15,15,6.4,2949.1,0.56,0.3,0.25,4.86,5.27,4.38
Cole Anthony,ORL,81,47,34,22.4,9424.4,1.78,0.98,0.81,4.42,4.72,4.11
Cole Swider,MIA,18,8,10,4.8,1954.9,0.37,0.21,0.16,4.5,5,4.01
Colin Castleton,LAL,16,9,7,3.7,1449.2,0.27,0.15,0.13,4.08,4.21,3.76
Collin Gillespie,DEN,24,15,9,9.4,3858.9,0.73,0.4,0.33,4.3,4.77,3.88
Collin Sexton,UTA,77,29,48,26.5,10364.5,1.96,1.08,0.88,4.11,4.43,3.77
Corey Kispert,WAS,80,15,65,25.8,10992.9,2.08,1.14,0.94,4.53,5.05,4.02
Cory Joseph,GSW,26,10,16,11.4,4645,0.88,0.48,0.4,4.53,4.81,4.25
Craig Porter Jr.,CLE,51,30,21,12.7,5041.7,0.95,0.53,0.43,4.23,4.56,3.87
D'Angelo Russell,LAL,75,45,30,32.8,12352.9,2.34,1.24,1.1,4.07,4.36,3.78
D'Moi Hodge,LAL,7,1,6,5.9,2277,0.43,0.23,0.2,4.06,4.52,3.63
D.J. Carton,TOR,4,2,2,8.9,4142.8,0.78,0.39,0.39,4.81,5.48,4.53
D.J. Wilson,PHI,2,1,1,7.7,3271,0.62,0.32,0.3,4.33,4.54,4.16
DaQuan Jeffries,NYK,17,11,6,2.7,945.5,0.18,0.09,0.09,4.12,4.46,4.06
Daishen Nix,MIN,15,11,4,3.3,1317.8,0.25,0.13,0.12,3.92,4,3.84
Dalano Banton,POR,53,23,30,19,7819,1.48,0.82,0.66,4.36,4.81,3.9
Dalen Terry,CHI,58,27,31,11.7,5044.7,0.96,0.5,0.46,4.71,5.12,4.33
Damian Jones,CLE,39,24,15,6.9,2712.6,0.51,0.27,0.24,4.11,4.23,4.03
Damian Lillard,MIL,73,48,25,35.3,13438.3,2.55,1.39,1.15,4.04,4.44,3.63
Daniel Gafford,DAL,73,29,44,24.5,9923,1.88,0.98,0.9,4.29,4.53,4.06
Daniel Theis,LAC,59,37,22,16.9,6385.5,1.21,0.64,0.56,4.16,4.37,3.93
Danilo Gallinari,MIL,49,15,34,12.8,4825.2,0.91,0.5,0.41,3.98,4.27,3.68
Danny Green,PHI,2,1,1,9.2,4316,0.82,0.49,0.32,4.46,4.72,4.09
Danté Exum,DAL,54,35,19,19.8,8361.7,1.58,0.85,0.74,4.48,4.85,4.13
Danuel House Jr.,PHI,34,21,13,15,6581.3,1.25,0.67,0.57,4.63,4.88,4.36
Dario Šarić,GSW,63,35,28,17.4,6735.2,1.28,0.7,0.58,4.16,4.44,3.85
Dariq Whitehead,BKN,2,1,1,12,4778,0.9,0.51,0.39,4.22,4.41,3.99
Darius Bazley,UTA,9,2,7,16.9,7036.1,1.33,0.72,0.61,4.36,4.76,3.96
Darius Garland,CLE,57,31,26,33.3,13418.8,2.54,1.4,1.14,4.27,4.74,3.81
David Duke Jr.,SAS,4,3,1,12.8,5505.5,1.04,0.56,0.48,4.55,5.11,4.03
David Roddy,PHX,64,25,39,18.3,7346.3,1.39,0.75,0.64,4.34,4.63,4.04
Davion Mitchell,SAC,72,41,31,15.3,6530,1.24,0.66,0.58,4.52,4.84,4.21
Day'Ron Sharpe,BKN,59,25,34,15.1,6217.4,1.18,0.64,0.54,4.35,4.69,4
De'Aaron Fox,SAC,74,42,32,35.9,14401.4,2.73,1.47,1.26,4.25,4.71,3.82
De'Andre Hunter,ATL,57,26,31,29.5,11200.6,2.12,1.14,0.99,4.05,4.43,3.69
De'Anthony Melton,PHI,38,25,13,26.9,11128.2,2.11,1.14,0.97,4.35,4.7,4
DeAndre Jordan,DEN,35,23,12,11.1,3757,0.71,0.38,0.33,3.59,3.65,3.52
DeJon Jarreau,MEM,9,2,7,16.6,6998.4,1.33,0.71,0.61,4.44,4.58,4.28
DeMar DeRozan,CHI,78,37,41,37.8,13600.2,2.58,1.41,1.17,3.85,4.31,3.41
Dean Wade,CLE,54,36,18,20.5,8335.9,1.58,0.84,0.74,4.31,4.54,4.06
Deandre Ayton,POR,54,13,41,32.3,11637,2.2,1.19,1.02,3.84,4.11,3.56
Dejounte Murray,ATL,78,34,44,35.7,14174.5,2.68,1.46,1.22,4.26,4.7,3.83
Delon Wright,MIA,47,16,31,15.8,6610.7,1.25,0.68,0.57,4.39,4.69,4.08
Deni Avdija,WAS,75,14,61,30.1,12171.1,2.31,1.23,1.07,4.31,4.72,3.92
Dennis Schröder,BKN,79,30,49,31,12391.4,2.35,1.26,1.09,4.22,4.56,3.89
Dennis Smith Jr.,BKN,54,19,35,19,7631.2,1.45,0.75,0.7,4.24,4.43,4.05
Dereck Lively II,DAL,55,35,20,23.5,9739.7,1.84,0.97,0.87,4.42,4.69,4.15
Dereon Seabron,NOP,6,3,3,9.2,3829.2,0.73,0.38,0.34,4.15,4.41,3.89
Derrick Jones Jr.,DAL,75,46,29,23.5,9497.5,1.8,0.91,0.89,4.32,4.4,4.24
Derrick Rose,MEM,24,6,18,16.6,7017.8,1.33,0.71,0.62,4.43,4.82,4.06
Derrick White,BOS,72,57,15,32.6,12548.3,2.38,1.27,1.11,4.09,4.39,3.8
Desmond Bane,MEM,42,14,28,34.4,13950.5,2.64,1.48,1.16,4.27,4.76,3.78
Devin Booker,PHX,68,43,25,36,13325.6,2.52,1.39,1.13,3.98,4.35,3.61
Devin Vassell,SAS,68,17,51,33,13545.3,2.57,1.44,1.13,4.33,4.93,3.75
Devonte' Graham,SAS,22,7,15,13.7,5320.7,1.01,0.55,0.46,4.08,4.41,3.7
Dexter Dennis,DAL,4,1,3,7.5,2563.5,0.49,0.26,0.23,4.41,4.93,3.95
Dillon Brooks,HOU,72,36,36,30.9,11897.1,2.25,1.12,1.13,4.06,4.14,3.98
Dmytro Skapintsev,NYK,2,0,2,1.1,435.5,0.08,0.03,0.05,5.21,7.35,4.04
Domantas Sabonis,SAC,82,46,36,35.7,14119,2.67,1.4,1.27,4.21,4.51,3.93
Dominick Barlow,SAS,32,6,26,12.2,5225.1,0.99,0.54,0.45,4.55,4.99,4.12
Donovan Mitchell,CLE,55,36,19,35.3,12995,2.46,1.37,1.09,3.9,4.34,3.46
Donte DiVincenzo,NYK,81,50,31,29.1,11692.6,2.21,1.23,0.99,4.25,4.51,3.97
Dorian Finney-Smith,BKN,66,28,38,28.3,11050.8,2.09,1.12,0.98,4.14,4.35,3.93
Doug McDermott,IND,64,22,42,14.1,6143.8,1.16,0.65,0.51,4.59,5.14,4.04
Draymond Green,GSW,54,33,21,27.1,9778.2,1.85,0.99,0.86,3.93,4.31,3.57
Drew Eubanks,PHX,74,42,32,15.7,6256.1,1.18,0.65,0.54,4.28,4.52,4.01
Drew Peterson,BOS,3,3,0,7.6,3231,0.61,0.34,0.27,4.39,4.7,4.05
Dru Smith,MIA,9,7,2,14.5,6204.2,1.18,0.64,0.54,4.45,4.59,4.21
Duncan Robinson,MIA,68,38,30,28,11398,2.16,1.23,0.93,4.37,4.92,3.81
Duop Reath,POR,67,16,51,17.9,7193.7,1.36,0.73,0.63,4.24,4.48,3.99
Dwight Powell,DAL,62,37,25,13.3,5616.4,1.06,0.56,0.5,4.45,4.68,4.22
Dylan Windler,ATL,17,9,8,6.4,2759.5,0.52,0.28,0.25,4.51,4.6,4.42
Dyson Daniels,NOP,60,34,26,22.4,9385.1,1.78,0.93,0.85,4.4,4.69,4.13
Dāvis Bertāns,CHA,42,19,23,15.4,6383.2,1.21,0.68,0.53,4.39,4.95,3.84
E.J. Liddell,NOP,8,3,5,2.9,1228.8,0.23,0.12,0.11,4.19,4.97,3.57
Emoni Bates,CLE,15,8,7,8.8,3479.4,0.66,0.35,0.31,4.13,4.29,3.97
