PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Jeff Green,HOU,78,39,39,16.8,6078,1.15,0.59,0.56,3.83,3.99,3.67
Jerami Grant,POR,54,17,37,33.9,13237.7,2.51,1.34,1.17,4.13,4.37,3.89
Jeremiah Robinson-Earl,NOP,38,22,16,8.6,3831.4,0.73,0.39,0.34,4.63,5.08,4.2
Jeremy Sochan,SAS,73,17,56,29.7,12567,2.38,1.27,1.11,4.49,4.88,4.12
Jericho Sims,NYK,45,30,15,13,5053,0.96,0.52,0.44,4.21,4.39,4
Jermaine Samuels Jr.,HOU,14,8,6,4.3,1881.4,0.36,0.19,0.17,4.54,4.97,4.12
Jerome Robinson,GSW,21,17,4,3.8,1668,0.32,0.18,0.14,4.56,4.88,4.21
Jett Howard,ORL,18,9,9,3.7,1442.5,0.27,0.15,0.12,3.95,4.37,3.53
Jevon Carter,CHI,71,35,36,14,5762.7,1.09,0.55,0.54,4.4,4.52,4.29
Jimmy Butler III,MIA,60,33,27,34,13081.2,2.48,1.31,1.17,4.09,4.31,3.86
Jock Landale,HOU,56,28,28,13.6,5431.4,1.03,0.54,0.49,4.25,4.49,4
Joe Harris,DET,16,4,12,10.6,4611.3,0.87,0.51,0.36,4.46,4.98,3.82
Joe Ingles,ORL,68,42,26,17.2,6464.3,1.22,0.67,0.56,3.97,4.17,3.75
Joel Embiid,PHI,39,31,8,33.6,11480.9,2.17,1.16,1.01,3.6,3.83,3.36
John Collins,UTA,67,27,40,27.9,11208.7,2.12,1.16,0.96,4.23,4.5,3.96
John Konchar,MEM,55,18,37,21.3,9017.6,1.71,0.9,0.8,4.51,4.65,4.36
Johnny Davis,WAS,50,8,42,12.3,5322.8,1.01,0.51,0.5,4.46,4.68,4.26
Johnny Juzang,UTA,19,5,14,19.2,8442.5,1.6,0.88,0.72,4.62,4.88,4.33
Jonas Valančiūnas,NOP,81,49,32,23.5,8840.1,1.67,0.89,0.78,4.02,4.27,3.78
Jonathan Isaac,ORL,58,35,23,15.8,6426.6,1.22,0.66,0.56,4.3,4.61,3.99
Jonathan Kuminga,GSW,73,40,33,26.3,10979,2.08,1.12,0.96,4.51,4.92,4.11
Jontay Porter,TOR,25,6,19,14.4,5828,1.1,0.58,0.52,4.3,4.7,3.93
Jordan Clarkson,UTA,54,22,32,30.6,12369.5,2.34,1.33,1.01,4.23,4.65,3.79
Jordan Ford,SAC,6,2,4,3.6,1572.2,0.3,0.15,0.14,4.54,4.96,4.18
Jordan Goodwin,MEM,57,30,27,18.5,7806.4,1.48,0.79,0.69,4.45,4.56,4.31
Jordan Hawkins,NOP,66,38,28,17.4,7481.8,1.42,0.75,0.66,4.5,4.75,4.24
Jordan McLaughlin,MIN,56,35,21,11.2,4917.6,0.93,0.51,0.42,4.66,5.15,4.17
Jordan Miller,LAC,7,4,3,3.9,1322.9,0.25,0.14,0.11,4.25,4.63,3.86
Jordan Nwora,TOR,51,14,37,13.7,5876.4,1.11,0.59,0.53,4.52,4.92,4.14
Jordan Poole,WAS,78,15,63,30.1,11684.7,2.21,1.23,0.98,4.1,4.65,3.58
Jordan Walsh,BOS,9,9,0,9.3,3675,0.7,0.38,0.32,4.24,4.31,4.17
Jose Alvarado,NOP,55,38,17,18.3,7797.9,1.48,0.76,0.72,4.47,4.59,4.34
Josh Giddey,OKC,80,56,24,25.1,10483.7,1.99,1.05,0.93,4.42,4.8,4.06
Josh Green,DAL,56,31,25,26.4,11439.1,2.17,1.09,1.07,4.6,4.7,4.52
Josh Hart,NYK,81,49,32,33.4,12884.8,2.44,1.36,1.08,4.07,4.33,3.79
Josh Minott,MIN,32,23,9,2.9,1270.7,0.24,0.13,0.11,4.49,4.86,4.12
Josh Okogie,PHX,60,37,23,16,6477.2,1.23,0.61,0.62,4.33,4.23,4.43
Josh Richardson,MIA,43,24,19,25.6,10131.7,1.92,1.04,0.88,4.27,4.6,3.94
Joshua Primo,LAC,2,2,0,5.1,1102,0.21,0.12,0.08,4.11,3.72,4.59
Jrue Holiday,BOS,68,52,16,32.8,12766.2,2.42,1.26,1.16,4.13,4.37,3.9
Juan Toscano-Anderson,SAC,11,7,4,4.8,1895.6,0.36,0.19,0.17,4.6,5.18,4.07
Jules Bernard,WAS,19,2,17,7.9,3224.5,0.61,0.32,0.29,4.36,4.8,4.02
Julian Champagnie,SAS,73,18,55,19.6,8480.1,1.61,0.85,0.75,4.61,5.04,4.2
Julian Phillips,CHI,39,20,19,8.1,3461.2,0.66,0.34,0.31,4.62,4.92,4.33
Julian Strawther,DEN,48,32,16,11.1,4659.8,0.88,0.49,0.4,4.44,4.85,4.03
